icd_10_cm_code,icd_10_cm_code_description,default_ccsr_category_ip,default_ccsr_category_description_ip,default_ccsr_category_op,default_ccsr_category_description_op,ccsr_category_1,ccsr_category_1_description,ccsr_category_2,ccsr_category_2_description,ccsr_category_3,ccsr_category_3_description,ccsr_category_4,ccsr_category_4_description,ccsr_category_5,ccsr_category_5_description,ccsr_category_6,ccsr_category_6_description
T48994D,"Poisoning by other agents primarily acting on the respiratory system, undetermined, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter", , , , , , , , , , 
T48994S,"Poisoning by other agents primarily acting on the respiratory system, undetermined, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela", , , , , , , , , , 
T48995A,"Adverse effect of other agents primarily acting on the respiratory system, initial encounter",XXX000,Unacceptable PDX,INJ028,"Adverse effects of drugs and medicaments, initial encounter",INJ028,"Adverse effects of drugs and medicaments, initial encounter", , , , , , , , , , 
T48995D,"Adverse effect of other agents primarily acting on the respiratory system, subsequent encounter",XXX000,Unacceptable PDX,INJ065,"Adverse effects of drugs and medicaments, subsequent encounter",INJ065,"Adverse effects of drugs and medicaments, subsequent encounter", , , , , , , , , , 
T48995S,"Adverse effect of other agents primarily acting on the respiratory system, sequela",XXX000,Unacceptable PDX,INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela", , , , , , , , , , 
T48996A,"Underdosing of other agents primarily acting on the respiratory system, initial encounter",XXX000,Unacceptable PDX,XXX111,Unacceptable DX1,INJ029,"Underdosing of drugs and medicaments, initial encounter", , , , , , , , , , 
T48996D,"Underdosing of other agents primarily acting on the respiratory system, subsequent encounter",XXX000,Unacceptable PDX,XXX111,Unacceptable DX1,INJ066,"Underdosing of drugs and medicaments, subsequent encounter", , , , , , , , , , 
T48996S,"Underdosing of other agents primarily acting on the respiratory system, sequela",XXX000,Unacceptable PDX,XXX111,Unacceptable DX1,INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela", , , , , , , , , , 
T490X1A,"Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",INJ022,"Poisoning by drugs, initial encounter",EXT014,External cause codes: poisoning by drug,EXT020,"External cause codes: intent of injury, accidental/unintentional",INJ022,"Poisoning by drugs, initial encounter", , , , , , 
T490X1D,"Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, accidental (unintentional), subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter", , , , , , , , , , 
T490X1S,"Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, accidental (unintentional), sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela", , , , , , , , , , 
T490X2A,"Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,MBD012,Suicidal ideation/attempt/intentional self-harm,EXT014,External cause codes: poisoning by drug,EXT021,"External cause codes: intent of injury, self-harm",INJ022,"Poisoning by drugs, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm, , , , 
T490X2D,"Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,MBD027,Suicide attempt/intentional self-harm; subsequent encounter,INJ059,"Poisoning by drugs, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter, , , , , , , , 
T490X2S,"Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,MBD034,Mental and substance use disorders; sequela,INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",MBD034,Mental and substance use disorders; sequela, , , , , , , , 
T490X3A,"Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",INJ022,"Poisoning by drugs, initial encounter",EXT014,External cause codes: poisoning by drug,EXT022,"External cause codes: intent of injury, assault",INJ022,"Poisoning by drugs, initial encounter", , , , , , 
T490X3D,"Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, assault, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter", , , , , , , , , , 
T490X3S,"Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, assault, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela", , , , , , , , , , 
T490X4A,"Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",INJ022,"Poisoning by drugs, initial encounter",EXT014,External cause codes: poisoning by drug,EXT023,"External cause codes: intent of injury, undetermined",INJ022,"Poisoning by drugs, initial encounter", , , , , , 
T490X4D,"Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, undetermined, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter", , , , , , , , , , 
T490X4S,"Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, undetermined, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela", , , , , , , , , , 
T490X5A,"Adverse effect of local antifungal, anti-infective and anti-inflammatory drugs, initial encounter",XXX000,Unacceptable PDX,INJ028,"Adverse effects of drugs and medicaments, initial encounter",INJ028,"Adverse effects of drugs and medicaments, initial encounter", , , , , , , , , , 
T490X5D,"Adverse effect of local antifungal, anti-infective and anti-inflammatory drugs, subsequent encounter",XXX000,Unacceptable PDX,INJ065,"Adverse effects of drugs and medicaments, subsequent encounter",INJ065,"Adverse effects of drugs and medicaments, subsequent encounter", , , , , , , , , , 
T490X5S,"Adverse effect of local antifungal, anti-infective and anti-inflammatory drugs, sequela",XXX000,Unacceptable PDX,INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela", , , , , , , , , , 
T490X6A,"Underdosing of local antifungal, anti-infective and anti-inflammatory drugs, initial encounter",XXX000,Unacceptable PDX,XXX111,Unacceptable DX1,INJ029,"Underdosing of drugs and medicaments, initial encounter", , , , , , , , , , 
T490X6D,"Underdosing of local antifungal, anti-infective and anti-inflammatory drugs, subsequent encounter",XXX000,Unacceptable PDX,XXX111,Unacceptable DX1,INJ066,"Underdosing of drugs and medicaments, subsequent encounter", , , , , , , , , , 
T490X6S,"Underdosing of local antifungal, anti-infective and anti-inflammatory drugs, sequela",XXX000,Unacceptable PDX,XXX111,Unacceptable DX1,INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela", , , , , , , , , , 
