icd_10_cm_code,icd_10_cm_code_description,default_ccsr_category_ip,default_ccsr_category_description_ip,default_ccsr_category_op,default_ccsr_category_description_op,ccsr_category_1,ccsr_category_1_description,ccsr_category_2,ccsr_category_2_description,ccsr_category_3,ccsr_category_3_description,ccsr_category_4,ccsr_category_4_description,ccsr_category_5,ccsr_category_5_description,ccsr_category_6,ccsr_category_6_description
A000,"Cholera due to Vibrio cholerae 01, biovar cholerae",DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A001,"Cholera due to Vibrio cholerae 01, biovar eltor",DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A009,"Cholera, unspecified",DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A0100,"Typhoid fever, unspecified",DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A0101,Typhoid meningitis,NVS001,Meningitis,NVS001,Meningitis,INF003,Bacterial infections,NVS001,Meningitis, , , , , , , , 
A0102,Typhoid fever with heart involvement,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A0103,Typhoid pneumonia,RSP002,Pneumonia (except that caused by tuberculosis),RSP002,Pneumonia (except that caused by tuberculosis),INF003,Bacterial infections,RSP002,Pneumonia (except that caused by tuberculosis), , , , , , , , 
A0104,Typhoid arthritis,MUS001,Infective arthritis,MUS001,Infective arthritis,INF003,Bacterial infections,MUS001,Infective arthritis, , , , , , , , 
A0105,Typhoid osteomyelitis,MUS002,Osteomyelitis,MUS002,Osteomyelitis,INF003,Bacterial infections,MUS002,Osteomyelitis, , , , , , , , 
A0109,Typhoid fever with other complications,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A011,Paratyphoid fever A,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A012,Paratyphoid fever B,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A013,Paratyphoid fever C,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A014,"Paratyphoid fever, unspecified",DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A020,Salmonella enteritis,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A021,Salmonella sepsis,INF002,Septicemia,INF002,Septicemia,INF002,Septicemia,INF003,Bacterial infections, , , , , , , , 
A0220,"Localized salmonella infection, unspecified",INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A0221,Salmonella meningitis,NVS001,Meningitis,NVS001,Meningitis,INF003,Bacterial infections,NVS001,Meningitis, , , , , , , , 
A0222,Salmonella pneumonia,RSP002,Pneumonia (except that caused by tuberculosis),RSP002,Pneumonia (except that caused by tuberculosis),INF003,Bacterial infections,RSP002,Pneumonia (except that caused by tuberculosis), , , , , , , , 
A0223,Salmonella arthritis,MUS001,Infective arthritis,MUS001,Infective arthritis,INF003,Bacterial infections,MUS001,Infective arthritis, , , , , , , , 
A0224,Salmonella osteomyelitis,MUS002,Osteomyelitis,MUS002,Osteomyelitis,INF003,Bacterial infections,MUS002,Osteomyelitis, , , , , , , , 
A0225,Salmonella pyelonephritis,GEN004,Urinary tract infections,GEN004,Urinary tract infections,GEN004,Urinary tract infections,INF003,Bacterial infections, , , , , , , , 
A0229,Salmonella with other localized infection,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A028,Other specified salmonella infections,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A029,"Salmonella infection, unspecified",DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A030,Shigellosis due to Shigella dysenteriae,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A031,Shigellosis due to Shigella flexneri,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A032,Shigellosis due to Shigella boydii,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A033,Shigellosis due to Shigella sonnei,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A038,Other shigellosis,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A039,"Shigellosis, unspecified",DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A040,Enteropathogenic Escherichia coli infection,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A041,Enterotoxigenic Escherichia coli infection,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A042,Enteroinvasive Escherichia coli infection,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A043,Enterohemorrhagic Escherichia coli infection,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A044,Other intestinal Escherichia coli infections,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A045,Campylobacter enteritis,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A046,Enteritis due to Yersinia enterocolitica,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A047,Enterocolitis due to Clostridium difficile,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A0471,"Enterocolitis due to Clostridium difficile, recurrent",DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A0472,"Enterocolitis due to Clostridium difficile, not specified as recurrent",DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A048,Other specified bacterial intestinal infections,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A049,"Bacterial intestinal infection, unspecified",DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A050,Foodborne staphylococcal intoxication,INF005,Foodborne intoxications,INF005,Foodborne intoxications,INF005,Foodborne intoxications, , , , , , , , , , 
A051,Botulism food poisoning,INF005,Foodborne intoxications,INF005,Foodborne intoxications,INF005,Foodborne intoxications, , , , , , , , , , 
A052,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,INF005,Foodborne intoxications,INF005,Foodborne intoxications,INF005,Foodborne intoxications, , , , , , , , , , 
A053,Foodborne Vibrio parahaemolyticus intoxication,INF005,Foodborne intoxications,INF005,Foodborne intoxications,INF005,Foodborne intoxications, , , , , , , , , , 
A054,Foodborne Bacillus cereus intoxication,INF005,Foodborne intoxications,INF005,Foodborne intoxications,INF005,Foodborne intoxications, , , , , , , , , , 
A055,Foodborne Vibrio vulnificus intoxication,INF005,Foodborne intoxications,INF005,Foodborne intoxications,INF005,Foodborne intoxications, , , , , , , , , , 
A058,Other specified bacterial foodborne intoxications,INF005,Foodborne intoxications,INF005,Foodborne intoxications,INF005,Foodborne intoxications, , , , , , , , , , 
A059,"Bacterial foodborne intoxication, unspecified",INF005,Foodborne intoxications,INF005,Foodborne intoxications,INF005,Foodborne intoxications, , , , , , , , , , 
A060,Acute amebic dysentery,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF009,"Parasitic, other specified and unspecified infections", , , , , , , , 
A061,Chronic intestinal amebiasis,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF009,"Parasitic, other specified and unspecified infections", , , , , , , , 
A062,Amebic nondysenteric colitis,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF009,"Parasitic, other specified and unspecified infections", , , , , , , , 
A063,Ameboma of intestine,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF009,"Parasitic, other specified and unspecified infections", , , , , , , , 
A064,Amebic liver abscess,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF009,"Parasitic, other specified and unspecified infections", , , , , , , , 
A065,Amebic lung abscess,RSP016,Other specified and unspecified lower respiratory disease,RSP016,Other specified and unspecified lower respiratory disease,INF009,"Parasitic, other specified and unspecified infections",RSP016,Other specified and unspecified lower respiratory disease, , , , , , , , 
A066,Amebic brain abscess,NVS014,CNS abscess,NVS014,CNS abscess,INF009,"Parasitic, other specified and unspecified infections",NVS014,CNS abscess, , , , , , , , 
A067,Cutaneous amebiasis,INF009,"Parasitic, other specified and unspecified infections",INF009,"Parasitic, other specified and unspecified infections",INF009,"Parasitic, other specified and unspecified infections", , , , , , , , , , 
A0681,Amebic cystitis,INF009,"Parasitic, other specified and unspecified infections",INF009,"Parasitic, other specified and unspecified infections",INF009,"Parasitic, other specified and unspecified infections", , , , , , , , , , 
A0682,Other amebic genitourinary infections,INF009,"Parasitic, other specified and unspecified infections",INF009,"Parasitic, other specified and unspecified infections",INF009,"Parasitic, other specified and unspecified infections", , , , , , , , , , 
A0689,Other amebic infections,INF009,"Parasitic, other specified and unspecified infections",INF009,"Parasitic, other specified and unspecified infections",INF009,"Parasitic, other specified and unspecified infections", , , , , , , , , , 
A069,"Amebiasis, unspecified",DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF009,"Parasitic, other specified and unspecified infections", , , , , , , , 
A070,Balantidiasis,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF009,"Parasitic, other specified and unspecified infections", , , , , , , , 
A071,Giardiasis [lambliasis],DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF009,"Parasitic, other specified and unspecified infections", , , , , , , , 
A072,Cryptosporidiosis,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF009,"Parasitic, other specified and unspecified infections", , , , , , , , 
A073,Isosporiasis,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF009,"Parasitic, other specified and unspecified infections", , , , , , , , 
A074,Cyclosporiasis,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF009,"Parasitic, other specified and unspecified infections", , , , , , , , 
A078,Other specified protozoal intestinal diseases,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF009,"Parasitic, other specified and unspecified infections", , , , , , , , 
A079,"Protozoal intestinal disease, unspecified",DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF009,"Parasitic, other specified and unspecified infections", , , , , , , , 
A080,Rotaviral enteritis,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF008,Viral infection, , , , , , , , 
A0811,Acute gastroenteropathy due to Norwalk agent,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF008,Viral infection, , , , , , , , 
A0819,Acute gastroenteropathy due to other small round viruses,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF008,Viral infection, , , , , , , , 
A082,Adenoviral enteritis,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF008,Viral infection, , , , , , , , 
A0831,Calicivirus enteritis,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF008,Viral infection, , , , , , , , 
A0832,Astrovirus enteritis,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF008,Viral infection, , , , , , , , 
A0839,Other viral enteritis,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF008,Viral infection, , , , , , , , 
A084,"Viral intestinal infection, unspecified",DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF008,Viral infection, , , , , , , , 
A088,Other specified intestinal infections,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF008,Viral infection, , , , , , , , 
A09,"Infectious gastroenteritis and colitis, unspecified",DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF009,"Parasitic, other specified and unspecified infections", , , , , , , , 
A150,Tuberculosis of lung,INF001,Tuberculosis,INF001,Tuberculosis,INF001,Tuberculosis, , , , , , , , , , 
A154,Tuberculosis of intrathoracic lymph nodes,INF001,Tuberculosis,INF001,Tuberculosis,INF001,Tuberculosis, , , , , , , , , , 
A155,"Tuberculosis of larynx, trachea and bronchus",INF001,Tuberculosis,INF001,Tuberculosis,INF001,Tuberculosis,RSP006,Other specified upper respiratory infections, , , , , , , , 
A156,Tuberculous pleurisy,INF001,Tuberculosis,INF001,Tuberculosis,INF001,Tuberculosis,RSP011,"Pleurisy, pleural effusion and pulmonary collapse", , , , , , , , 
A157,Primary respiratory tuberculosis,INF001,Tuberculosis,INF001,Tuberculosis,INF001,Tuberculosis,RSP016,Other specified and unspecified lower respiratory disease, , , , , , , , 
A158,Other respiratory tuberculosis,INF001,Tuberculosis,INF001,Tuberculosis,INF001,Tuberculosis,RSP016,Other specified and unspecified lower respiratory disease, , , , , , , , 
A159,Respiratory tuberculosis unspecified,INF001,Tuberculosis,INF001,Tuberculosis,INF001,Tuberculosis,RSP016,Other specified and unspecified lower respiratory disease, , , , , , , , 
A170,Tuberculous meningitis,INF001,Tuberculosis,INF001,Tuberculosis,INF001,Tuberculosis,NVS001,Meningitis, , , , , , , , 
A171,Meningeal tuberculoma,INF001,Tuberculosis,INF001,Tuberculosis,INF001,Tuberculosis,NVS001,Meningitis, , , , , , , , 
A1781,Tuberculoma of brain and spinal cord,INF001,Tuberculosis,INF001,Tuberculosis,INF001,Tuberculosis,NVS014,CNS abscess, , , , , , , , 
A1782,Tuberculous meningoencephalitis,INF001,Tuberculosis,INF001,Tuberculosis,INF001,Tuberculosis,NVS002,Encephalitis, , , , , , , , 
A1783,Tuberculous neuritis,INF001,Tuberculosis,INF001,Tuberculosis,INF001,Tuberculosis,NVS017,Nerve and nerve root disorders, , , , , , , , 
A1789,Other tuberculosis of nervous system,INF001,Tuberculosis,INF001,Tuberculosis,INF001,Tuberculosis,NVS020,Other nervous system disorders (neither hereditary nor degenerative), , , , , , , , 
A179,"Tuberculosis of nervous system, unspecified",INF001,Tuberculosis,INF001,Tuberculosis,INF001,Tuberculosis,NVS020,Other nervous system disorders (neither hereditary nor degenerative), , , , , , , , 
A1801,Tuberculosis of spine,INF001,Tuberculosis,INF001,Tuberculosis,INF001,Tuberculosis,MUS001,Infective arthritis, , , , , , , , 
A1802,Tuberculous arthritis of other joints,INF001,Tuberculosis,INF001,Tuberculosis,INF001,Tuberculosis,MUS001,Infective arthritis, , , , , , , , 
A1803,Tuberculosis of other bones,INF001,Tuberculosis,INF001,Tuberculosis,INF001,Tuberculosis,MUS001,Infective arthritis, , , , , , , , 
A1809,Other musculoskeletal tuberculosis,INF001,Tuberculosis,INF001,Tuberculosis,INF001,Tuberculosis,MUS025,Other specified connective tissue disease, , , , , , , , 
A1810,"Tuberculosis of genitourinary system, unspecified",INF001,Tuberculosis,INF001,Tuberculosis,GEN004,Urinary tract infections,INF001,Tuberculosis, , , , , , , , 
A1811,Tuberculosis of kidney and ureter,INF001,Tuberculosis,INF001,Tuberculosis,GEN006,Other specified and unspecified diseases of kidney and ureters,INF001,Tuberculosis, , , , , , , , 
A1812,Tuberculosis of bladder,INF001,Tuberculosis,INF001,Tuberculosis,GEN007,Other specified and unspecified diseases of bladder and urethra,INF001,Tuberculosis, , , , , , , , 
A1813,Tuberculosis of other urinary organs,INF001,Tuberculosis,INF001,Tuberculosis,GEN004,Urinary tract infections,INF001,Tuberculosis, , , , , , , , 
A1814,Tuberculosis of prostate,INF001,Tuberculosis,INF001,Tuberculosis,GEN013,Inflammatory conditions of male genital organs,INF001,Tuberculosis, , , , , , , , 
A1815,Tuberculosis of other male genital organs,INF001,Tuberculosis,INF001,Tuberculosis,GEN013,Inflammatory conditions of male genital organs,INF001,Tuberculosis, , , , , , , , 
A1816,Tuberculosis of cervix,INF001,Tuberculosis,INF001,Tuberculosis,GEN018,Inflammatory diseases of female pelvic organs,INF001,Tuberculosis, , , , , , , , 
A1817,Tuberculous female pelvic inflammatory disease,INF001,Tuberculosis,INF001,Tuberculosis,GEN018,Inflammatory diseases of female pelvic organs,INF001,Tuberculosis, , , , , , , , 
A1818,Tuberculosis of other female genital organs,INF001,Tuberculosis,INF001,Tuberculosis,GEN018,Inflammatory diseases of female pelvic organs,INF001,Tuberculosis, , , , , , , , 
A182,Tuberculous peripheral lymphadenopathy,INF001,Tuberculosis,INF001,Tuberculosis,INF001,Tuberculosis, , , , , , , , , , 
A1831,Tuberculous peritonitis,INF001,Tuberculosis,INF001,Tuberculosis,DIG016,Peritonitis and intra-abdominal abscess,INF001,Tuberculosis, , , , , , , , 
A1832,Tuberculous enteritis,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF001,Tuberculosis, , , , , , , , 
A1839,Retroperitoneal tuberculosis,INF001,Tuberculosis,INF001,Tuberculosis,INF001,Tuberculosis, , , , , , , , , , 
A184,Tuberculosis of skin and subcutaneous tissue,INF001,Tuberculosis,INF001,Tuberculosis,INF001,Tuberculosis, , , , , , , , , , 
A1850,"Tuberculosis of eye, unspecified",INF001,Tuberculosis,INF001,Tuberculosis,EYE012,Other specified eye disorders,INF001,Tuberculosis, , , , , , , , 
A1851,Tuberculous episcleritis,INF001,Tuberculosis,INF001,Tuberculosis,EYE001,Cornea and external disease,INF001,Tuberculosis, , , , , , , , 
A1852,Tuberculous keratitis,INF001,Tuberculosis,INF001,Tuberculosis,EYE001,Cornea and external disease,INF001,Tuberculosis, , , , , , , , 
A1853,Tuberculous chorioretinitis,INF001,Tuberculosis,INF001,Tuberculosis,EYE005,Retinal and vitreous conditions,INF001,Tuberculosis, , , , , , , , 
A1854,Tuberculous iridocyclitis,INF001,Tuberculosis,INF001,Tuberculosis,EYE012,Other specified eye disorders,INF001,Tuberculosis, , , , , , , , 
A1859,Other tuberculosis of eye,INF001,Tuberculosis,INF001,Tuberculosis,EYE012,Other specified eye disorders,INF001,Tuberculosis, , , , , , , , 
A186,Tuberculosis of (inner) (middle) ear,INF001,Tuberculosis,INF001,Tuberculosis,EAR002,Diseases of middle ear and mastoid (except otitis media),EAR006,Other specified and unspecified disorders of the ear,INF001,Tuberculosis, , , , , , 
A187,Tuberculosis of adrenal glands,INF001,Tuberculosis,INF001,Tuberculosis,END015,Other specified and unspecified endocrine disorders,INF001,Tuberculosis, , , , , , , , 
A1881,Tuberculosis of thyroid gland,INF001,Tuberculosis,INF001,Tuberculosis,END001,Thyroid disorders,INF001,Tuberculosis, , , , , , , , 
A1882,Tuberculosis of other endocrine glands,INF001,Tuberculosis,INF001,Tuberculosis,END015,Other specified and unspecified endocrine disorders,INF001,Tuberculosis, , , , , , , , 
A1883,"Tuberculosis of digestive tract organs, not elsewhere classified",INF001,Tuberculosis,INF001,Tuberculosis,DIG025,Other specified and unspecified gastrointestinal disorders,INF001,Tuberculosis, , , , , , , , 
A1884,Tuberculosis of heart,INF001,Tuberculosis,INF001,Tuberculosis,CIR004,Endocarditis and endocardial disease,INF001,Tuberculosis, , , , , , , , 
A1885,Tuberculosis of spleen,INF001,Tuberculosis,INF001,Tuberculosis,BLD010,Other specified and unspecified hematologic conditions,INF001,Tuberculosis, , , , , , , , 
A1889,Tuberculosis of other sites,INF001,Tuberculosis,INF001,Tuberculosis,INF001,Tuberculosis, , , , , , , , , , 
A190,Acute miliary tuberculosis of a single specified site,INF001,Tuberculosis,INF001,Tuberculosis,INF001,Tuberculosis, , , , , , , , , , 
A191,Acute miliary tuberculosis of multiple sites,INF001,Tuberculosis,INF001,Tuberculosis,INF001,Tuberculosis, , , , , , , , , , 
A192,"Acute miliary tuberculosis, unspecified",INF001,Tuberculosis,INF001,Tuberculosis,INF001,Tuberculosis, , , , , , , , , , 
A198,Other miliary tuberculosis,INF001,Tuberculosis,INF001,Tuberculosis,INF001,Tuberculosis, , , , , , , , , , 
A199,"Miliary tuberculosis, unspecified",INF001,Tuberculosis,INF001,Tuberculosis,INF001,Tuberculosis, , , , , , , , , , 
A200,Bubonic plague,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A201,Cellulocutaneous plague,SKN001,Skin and subcutaneous tissue infections,SKN001,Skin and subcutaneous tissue infections,INF003,Bacterial infections,SKN001,Skin and subcutaneous tissue infections, , , , , , , , 
A202,Pneumonic plague,RSP002,Pneumonia (except that caused by tuberculosis),RSP002,Pneumonia (except that caused by tuberculosis),INF003,Bacterial infections,RSP002,Pneumonia (except that caused by tuberculosis), , , , , , , , 
A203,Plague meningitis,NVS001,Meningitis,NVS001,Meningitis,INF003,Bacterial infections,NVS001,Meningitis, , , , , , , , 
A207,Septicemic plague,INF002,Septicemia,INF002,Septicemia,INF002,Septicemia,INF003,Bacterial infections, , , , , , , , 
A208,Other forms of plague,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A209,"Plague, unspecified",INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A210,Ulceroglandular tularemia,SKN001,Skin and subcutaneous tissue infections,SKN001,Skin and subcutaneous tissue infections,INF003,Bacterial infections,SKN001,Skin and subcutaneous tissue infections, , , , , , , , 
A211,Oculoglandular tularemia,EYE012,Other specified eye disorders,EYE012,Other specified eye disorders,EYE012,Other specified eye disorders,INF003,Bacterial infections, , , , , , , , 
A212,Pulmonary tularemia,RSP002,Pneumonia (except that caused by tuberculosis),RSP002,Pneumonia (except that caused by tuberculosis),INF003,Bacterial infections,RSP002,Pneumonia (except that caused by tuberculosis), , , , , , , , 
A213,Gastrointestinal tularemia,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A217,Generalized tularemia,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A218,Other forms of tularemia,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A219,"Tularemia, unspecified",INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A220,Cutaneous anthrax,SKN001,Skin and subcutaneous tissue infections,SKN001,Skin and subcutaneous tissue infections,INF003,Bacterial infections,SKN001,Skin and subcutaneous tissue infections, , , , , , , , 
A221,Pulmonary anthrax,RSP002,Pneumonia (except that caused by tuberculosis),RSP002,Pneumonia (except that caused by tuberculosis),INF003,Bacterial infections,RSP002,Pneumonia (except that caused by tuberculosis), , , , , , , , 
A222,Gastrointestinal anthrax,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A227,Anthrax sepsis,INF002,Septicemia,INF002,Septicemia,INF002,Septicemia,INF003,Bacterial infections, , , , , , , , 
A228,Other forms of anthrax,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A229,"Anthrax, unspecified",INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A230,Brucellosis due to Brucella melitensis,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A231,Brucellosis due to Brucella abortus,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A232,Brucellosis due to Brucella suis,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A233,Brucellosis due to Brucella canis,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A238,Other brucellosis,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A239,"Brucellosis, unspecified",INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A240,Glanders,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A241,Acute and fulminating melioidosis,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A242,Subacute and chronic melioidosis,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A243,Other melioidosis,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A249,"Melioidosis, unspecified",INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A250,Spirillosis,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A251,Streptobacillosis,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A259,"Rat-bite fever, unspecified",INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A260,Cutaneous erysipeloid,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A267,Erysipelothrix sepsis,INF002,Septicemia,INF002,Septicemia,INF002,Septicemia,INF003,Bacterial infections, , , , , , , , 
A268,Other forms of erysipeloid,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A269,"Erysipeloid, unspecified",INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A270,Leptospirosis icterohemorrhagica,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A2781,Aseptic meningitis in leptospirosis,NVS001,Meningitis,NVS001,Meningitis,INF003,Bacterial infections,NVS001,Meningitis, , , , , , , , 
A2789,Other forms of leptospirosis,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A279,"Leptospirosis, unspecified",INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A280,Pasteurellosis,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A281,Cat-scratch disease,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A282,Extraintestinal yersiniosis,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A288,"Other specified zoonotic bacterial diseases, not elsewhere classified",INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A289,"Zoonotic bacterial disease, unspecified",INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A300,Indeterminate leprosy,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
